Experiment_ID,Trace_length,Execution_Time (sec)
0,1000,0.144318580627441
1,1000,0.143680095672607
2,1000,0.149915218353271
3,1000,0.143793106079102
4,1000,0.145486831665039
5,1000,0.149787902832031
6,1000,0.145484924316406
7,1000,0.151051759719849
8,1000,0.146597623825073
9,1000,0.14491605758667
10,10000,1.11636447906494
11,10000,1.15467000007629
12,10000,1.18061900138855
13,10000,1.17214465141296
14,10000,1.14387559890747
15,10000,1.14076924324036
16,10000,1.15084600448608
17,10000,1.16575407981873
18,10000,1.19527816772461
19,10000,1.19552230834961
20,100000,11.0212340354919
21,100000,10.9826598167419
22,100000,11.0499517917633
23,100000,11.0346331596375
24,100000,11.0355432033539
25,100000,10.9758398532867
26,100000,11.0467693805695
27,100000,11.8590476512909
28,100000,10.9657549858093
29,100000,10.8997979164124
30,1000000,236.066411972046
31,1000000,237.96114563942
32,1000000,234.332555294037
33,1000000,232.825211524963
34,1000000,234.818061590195
35,1000000,233.749342679977
36,1000000,236.965376377106
37,1000000,232.87834405899
38,1000000,234.298184394836
39,1000000,235.966472625732